# DECaLS Footprint (estimated from exposures)
#RA     DEC       POLY
0.1     34.0      1
16      34.0      1
31.6    33.2      1
36.7    29.5      1
41.3    26.3      1
43.2    13.6      1
44.5    8.1       1
48.4    4.2       1
53.5    1.4       1
59.3    0.4       1
67.1    0.4       1
74.2    0.4       1
76.8    0.4       1
76.8    -4.2      1
76.8    -7.1      1
75.5    -10.3     1
74.8    -11.9     1
69.0    -13.8     1
67.7    -18.2     1
7.1     -20.6     1
1.3     -20.2     1
0.1     -18.4     1
3.9     -16.8     1
7.7     -15.4     1
0.6     -15.0     1
0.1     -15.0     1
-0.1    -15.0     2
-9.0    -15.0     2
-18.7   -15.0     2
-32.9   -15.0     2
-45.8   -13.4     2
-52.3   -10.9     2
-53.5   -9.5      2
-54.2   -6.5      2
-54.2   -3.8      2
-53.5   -0.4      2
-56.8   2.6       2
-54.8   6.5       2
-51.6   10.5      2
-51.6   12.3      2
-47.1   13.8      2
-43.2   17.2      2
-40.0   20.4      2
-38.1   24.5      2
-36.1   29.3      2
-25.8   32.4      2
-18.7   34.0      2
-7.7    34.0      2
-0.1    34.0      2
# Region accross RA = 180
179.9    -10       3
170.0    -10       3
160.0    -10       3
140.0    -10       3
121.0    -10       3
117.0    -4.25     3
117.0    0.4       3
113.0    5.9       3
115.4    9.31      3
113.3    13.4      3
108.9    18.0      3
104.6    23.3      3
102.4    27.9      3
101.0    32.0      3
100.0    34.0      3
100.0    34        3
120.0    34        3 
110.0    34        3 
140.0    34        3 
160.0    34        3 
170.0    34        3 
179.9    34        3 
-179.9   34        4 
-170.0   34        4 
-160.0   34        4 
-140.0   34        4 
-120.0   34        4 
-100.0   34        4 
-80.0    34        4 
-83.0    28        4
-84.0    23        4
-86.0    20        4
-89.0    15        4
-92.0    12        4
-96.0    9         4
-100.0   6         4
-103.0   1         4
-108.0   -1        4
-126.0   -3        4
-126.0   -10       4
-130.0   -10       4
-140.0   -10       4
-150.0   -10       4
-160.0   -10       4
-170.0   -10       4
-179.9   -10       4
